game_id,season,quarter,time,minute,second,play,pos_team,away_score,home_score
4eqyt7yhtfqo,2026,2,4:38,4,38,Rhyne Howard misses two point jump shot,Vinyl,24,23
4eqyt7yhtfqo,2026,2,4:36,4,36,Aaliyah Edwards defensive rebound,Lunar Owls,24,23
4eqyt7yhtfqo,2026,2,4:29,4,29,Marina Mabrey misses two point jump shot,Lunar Owls,24,23
4eqyt7yhtfqo,2026,2,4:27,4,27,Marina Mabrey offensive rebound,Lunar Owls,24,23
4eqyt7yhtfqo,2026,2,4:23,4,23,Courtney Williams personal foul (Marina Mabrey draws the foul),Vinyl,24,23
4eqyt7yhtfqo,2026,2,4:23,4,23,Instant replay (request: support),NA,24,23
4eqyt7yhtfqo,2026,2,4:23,4,23,Courtney Williams technical foul,Vinyl,24,23
4eqyt7yhtfqo,2026,2,4:23,4,23,Marina Mabrey technical foul,Lunar Owls,24,23
4eqyt7yhtfqo,2026,2,4:23,4,23,Marina Mabrey makes two point free throw,Lunar Owls,24,25
4eqyt7yhtfqo,2026,2,4:11,4,11,Rebecca Allen personal foul (Dearica Hamby draws the foul),Lunar Owls,24,25
4eqyt7yhtfqo,2026,2,4:06,4,6,Rhyne Howard misses three point jump shot,Vinyl,24,25
4eqyt7yhtfqo,2026,2,4:04,4,4,Marina Mabrey defensive rebound,Lunar Owls,24,25
4eqyt7yhtfqo,2026,2,3:59,3,59,Marina Mabrey makes two point driving layup,Lunar Owls,24,27
4eqyt7yhtfqo,2026,2,3:49,3,49,Dearica Hamby makes two point driving finger roll layup,Vinyl,26,27
4eqyt7yhtfqo,2026,2,3:44,3,44,Rebecca Allen misses three point stepback jump shot,Lunar Owls,26,27
4eqyt7yhtfqo,2026,2,3:42,3,42,Dearica Hamby defensive rebound,Vinyl,26,27
4eqyt7yhtfqo,2026,2,3:34,3,34,Courtney Williams turnover (bad pass) (Aaliyah Edwards steals),Vinyl,26,27
4eqyt7yhtfqo,2026,2,3:31,3,31,Aaliyah Edwards misses two point running layup,Lunar Owls,26,27
4eqyt7yhtfqo,2026,2,3:29,3,29,Rebecca Allen offensive rebound,Lunar Owls,26,27
4eqyt7yhtfqo,2026,2,3:29,3,29,Rebecca Allen makes two point layup,Lunar Owls,26,29
4eqyt7yhtfqo,2026,2,3:29,3,29,TV timeout,NA,26,29
4eqyt7yhtfqo,2026,2,3:15,3,15,Dearica Hamby makes two point driving finger roll layup,Vinyl,28,29
4eqyt7yhtfqo,2026,2,3:00,3,0,Aaliyah Edwards misses two point fadeaway jump shot,Lunar Owls,28,29
4eqyt7yhtfqo,2026,2,2:58,2,58,Courtney Williams defensive rebound,Vinyl,28,29
4eqyt7yhtfqo,2026,2,2:53,2,53,Rhyne Howard misses three point jump shot,Vinyl,28,29
4eqyt7yhtfqo,2026,2,2:51,2,51,Lunar Owls defensive rebound,Lunar Owls,28,29
4eqyt7yhtfqo,2026,2,2:51,2,51,"Lunar Owls lineup change (Marina Mabrey, Aaliyah Edwards, Skylar Diggins)",Lunar Owls,28,29
4eqyt7yhtfqo,2026,2,2:41,2,41,Skylar Diggins misses three point jump shot,Lunar Owls,28,29
4eqyt7yhtfqo,2026,2,2:39,2,39,Aaliyah Edwards offensive rebound,Lunar Owls,28,29
4eqyt7yhtfqo,2026,2,2:34,2,34,Marina Mabrey makes three point jump shot (Aaliyah Edwards assists),Lunar Owls,28,32
4eqyt7yhtfqo,2026,2,2:20,2,20,Dearica Hamby makes two point layup,Vinyl,30,32
4eqyt7yhtfqo,2026,2,2:13,2,13,Skylar Diggins turnover (bad pass) (Rhyne Howard steals),Lunar Owls,30,32
4eqyt7yhtfqo,2026,2,2:09,2,9,Rhyne Howard makes two point running layup,Vinyl,32,32
